Cote ,Titre ,Auteur,Lieu ,Edition ,Annee ,Nb pages,Matiere,Inventaire
"""011/07",فهرس المخطوطات العربية التركية والفارسية والبوسنوية,"(إعداد) فهيم علي, ناميتاك",لندن - سرايفو,مكتبة الغازي منسروبك,1998.0,,ببليوغرافيا,27943
"""02/02",مقدمة إلى نظم المكتبة المبنية على الحاسوب,"أ. تيد, لوسي",عمان,المنظمة العربية للعلوم الإدارية,1985.0,465,علم المكتبات,17847
"""3/43",عندما يحترم الصراع دليل عملي لاستخدام الوساطة في حل النزاعات.,أ. سليكيو كارل.,القاهرة.,الدار الدولية للنشر والتوزيع.,1999.0,348,العلوم الاجتماعية.,29267
"""32/83",التحليل السياسي الحديث,"أ.د, آل روبرت",القاهرة,مركز الأهرام للترجمة والنشر,1993.0,204,العلوم السياسية,28505
"""330.114/01",جدل حول التقدم,"أباظة, ابراهيم دسوقي",البيضاء,دار الكتاب,1975.0,30,الاقتصاد السياسي,11531
"""297.911/06",الإقتصاد الإسلامي : مقوماته ومناهجه,"أباظه, إبراهيم دسوقي",القاهرة,مؤسسة دار الشعب للصحافة,1973.0,159,الإسلام والعلوم الإقتصادية,587
"""297.911/06 مكرر",الإقتصاد الإسلامي : مقوماته ومنهاجه,"أباظه, إبراهيم دسوقي",القاهرة,مؤسسة دار الشعب للصحافة,1973.0,159,الإسلام والعلوم الإقتصادية,10677
"""611/01",علم التشريح لطلاب كليات التربية الرياضية,"إبراهيم الدوري, قيس",بغداد,دار المعرفة,1980.0,443,علم التشريح,6108
"""611/01 مكرر",علم التشريح لطلاب كليات التربية الرياضية,"إبراهيم الدوري, قيس",بغداد,دار المعرفة,1980.0,443,علم التشريح,6109
"""93:297/28",تاريخ الاسلام السياسي والديني والثقافي والاجتماعي. ج1,"إبراهيم حسن, حسن",القاهرة,مكتبة النهضة المصرية,1964.0,581,التاريخ الاسلامي,511
"""93:297/29",تاريخ الاسلام السياسي والديني والثقافي والإجتماعي. ج2,"إبراهيم حسن, حسن",القاهرة,مكتبة النهضة المصرية,1964.0,506,التاريخ الاسلامي,512
"""93:297/30",تاريخ الاسلام السياسي والديني والثقافي والاجتماعي. ج3,"إبراهيم حسن, حسن",القاهرة,مكتبة النهضة المصرية,1964.0,500,التاريخ الاسلامي,513
"""159.9/34 مكرر",سيكلوجية المرأة العاملة,"إبراهيم عبد الفتاح, كاميليا",بيروت,دار النهضة العربية,1984.0,325,علم النفس,23462
"""801.56/74",التأنيث في اللغة العربية,"إبراهيم, بركات إبراهيم",القاهرة,دار الوفاء للطباعة والنشر والتوزيع,1988.0,357,النحو العربي,23330
"""92/87 مكرر",المغاربة والبحر,"إبراهيم, حركات",معرض لشبونة,المملكة المغربية,1998.0,32,تاريخ المغرب,27965
"""964/202 مكرر",المغاربة والبحر,"إبراهيم, حركات",معرض لشبونة,المملكة المغربية,1998.0,32,تاريخ المغرب,27966
"""93:297/31",تاريخ الاسلام السياسي والديني والثقافي والاجتماعي. الجزء الرابع,"إبراهيم, حسن حسن",القاهرة,مكتبة النهضة المصرية,1964.0,702,التاريخ الاسلامي,514
"""101.9/09",هيجل أو المثالية المطلقة. الجزء الأول,"إبراهيم, زكريا",القاهرة,مكتبة مصر,1970.0,477,شخصيات فلسفية : هيجل,10669
"""140/01","مشكلة البنية أو أضواء على ""البنيوية""","إبراهيم, زكريا",مصر,مكتبة مصر,1976.0,264,فلسفة: البنيوية,7849
"""18.01/06",فلسفة الفن في الفكر المعاصر,"إبراهيم, زكريا",القاهرة,مكتبة مصر,1966.0,420,فلسفة الجمال,10008
"""82.09/11",تاريخ النقد الأدبي عند العرب من العصر الجاهلي الى القرن الرابع الهجري,"إبراهيم, طه أحمد",بيروت,دار الحكمة,,189,النقد الأدبي,9725
"""82.09/97",تاريخ النقد الادبي عند العرب في العصر الجاهلي إلى القرن الرابع الهجري,"إبراهيم, طه أحمد",بيروت,دار الكتب العلمية,,188,النقد الادبي,20487
"""82-31_533/01",القصة اليمنية المعاصرة (1939 -1976),"إبراهيم, عبد الحميد",بيروت,دار العودة,1977.0,415,الرواية,6828
"""159.97/11","العلاج النفسي الحديث, قوة للإنسان","إبراهيم, عبد الستار",القاهرة,مكتبة مدبولي,1983.0,207,علم النفس المرضي,13616
"""801.56/08",النحو الوظيفي,"إبراهيم, عبد العليم",القاهرة,دار المعارف,1978.0,443,النحو العربي,5559
"""371/29",المناهج: أسسها وتنظيماتها وتقويم أثرها,"إبراهيم, عبد اللطيف فؤاد",القاهرة,مكتبة مصر,1980.0,654,مناهج وطرق التدريس,9458
"""297.95/18",الإسلام في آفاق سنة ألفين,"إبراهيم, عبد الله",الدار البيضاء,مكتبة النجاح الجديدة,1979.0,109,الإسلام والقضايا العالمية المعاصرة,11542
"""297.418/02",عناصر الإسلام وطرق هديه,"إبراهيم, معوض عوض",بيروت,دار القلم,1977.0,261,الوعظ والإرشاد,4769
"""312.82/01",المدينة ومشاكل الإسكان,"أبرمز, تشارلز",بيروت,دار الآفاق الجديدة,1964.0,230,علم السكان,7934
